Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Cairo, Egypt",Egypt,1958,Feb,Wednesday,KLM Royal Dutch Airlines,No Data,Douglas DC-6B,21.0,1.0,0.0,20.0,1.0,21.0,During the approach the aircraft hit a hill in front of R34 and crash landed with a damaged landing gear onto  the runway. An off duty  pilot opened an emergency exit before aircraft stopped and was thrown out into a still turning propeller and killed.
"Off Corvo Island, Azores",Azores,1958,Feb,Thursday,Military - U.S. Navy,Argentina - Azores,Lockheed WV-2,22.0,22.0,0.0,0.0,22.0,22.0,Disappeared while on patrol about 100 miles from the Azores. No trace of the aircraft was ever found.
"Horwich, Lancs, England",England,1958,Feb,Thursday,Silver City Airways,Isle of Man - Manchester,Bristol 170 Freighter 21,42.0,35.0,0.0,7.0,35.0,42.0,Crashed into a mountain near Winter Hill during an approach. The First Officer used the wrong radio beacon (Oldham Becaon instead of on Wigan Beacon).
"Menzalah Lake, Egypt",Egypt,1958,Mar,Friday,Misrair,Athens - Cairo,Vickers 628 Viking 1B,26.0,8.0,0.0,18.0,8.0,26.0,"While approaching Cairo, the aircraft was diverted to Port Said where it ditched into Menzalah Lake."
"Off Ryukyu Islands, Okinawa",Okinawa,1958,Mar,Friday,Military - U.S. Marine Corps/Military - U.S. Marine Corps,Subic Bay - Naha,Fairchild R4Q / Dougas AD-6 skyraider,26.0,26.0,0.0,0.0,26.0,26.0,The aircraft collided after descending from a holding pattern while  attempting to land at Naha Air Base.  Failure of the AD-6 pilot to maintain his position. One killed aboard the AD-6. Poor judgement on the part of the R4Q Plane Commander.
"Grants, New Mexico",USA,1958,Mar,Saturday,Private,Los Angeles - New York,Lockheed 18 Lodestar,4.0,4.0,0.0,0.0,4.0,4.0,"The aircraft went down 35 miles SW of Grants, New Mexico. Fog, snow and thunderstorms were reported in the area. The plane hit the ground a a 45 degree angle and disintegrated and burned. Film director, producer Mike Todd, 49, husband of Elizabeth Taylor, killed.  Elizabeth Taylor, who had planned to go on the trip with her husband, remained at home, ill with bronchitis. The plane was named ""The Lucky Liz."" Icing."
"Near Kathmandu, Nepal",Nepal,1958,Mar,Monday,Indian Airlines,Simrla - Kathmandu,Douglas DC-3,20.0,20.0,0.0,0.0,20.0,20.0,"Due to a navigational error the aircraft flew the wrong route into a valley. While maneuvering to make a turn, the aircraft stalled and crashed. Wreckage was found 16 miles from Kathmandu."
"Miami, Florida",USA,1958,Mar,Tuesday,Braniff Airlines,Dallas - Miami - Panama City - Rio de Janeiro,Douglas DC-7-C,24.0,9.0,0.0,15.0,9.0,24.0,The plane crashed 2 minutes after takeoff while trying to return to the airport  after reporting a fire in the No. 3 engine. The failure of the captain to maintain altitude during an emergency return to the airport due to his undue preoccupation with an engine fire following takeoff.
"Bridgeport, Texas",USA,1958,Mar,Thursday,Military - U.S. Air Force/Military - U.S. Air Force,San Antionio - OK City / Wichita Falls - Forth Worth,Douglas C-124C / Fairchild C-119C,18.0,18.0,0.0,0.0,18.0,18.0,"Collided in midair while cruising at 6,000 ft. Both aircraft crashed into farmlands killing all aboard. The pilot of the 49-195A was flying at the wrong altitude."
"Quito, Ecuador",Ecuador,1958,Apr,Wednesday,Transportes Aereos Orientales,Quito - Esmeraldas,Junkers JU-52/3m,14.0,3.0,0.0,11.0,3.0,14.0,Crashed after experiencing engine trouble.
"Freeland, Michigan",USA,1958,Apr,Sunday,Capital Airlines,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,47.0,47.0,0.0,0.0,47.0,47.0,"The aircraft stalled and crashed into a corn field, 300 feet short of the runway, while making a landing attempt at Tri-City Airport in restricted visibility of rain and snow. The aircraft struck the ground nose first, then flipped over and broke apart.  Icing of the horizontal stabilizer leading to loss of pitch control."
"Mt. Illiniza, Ecuador",Ecuador,1958,Apr,Monday,AREA,Guayaquil - Quito,Douglas DC-3,32.0,32.0,0.0,0.0,32.0,32.0,Flew into a mountain 15 minutes after leaving Guayaquil. Procedural error. The pilot did not maintain IFR until clear of the cloud cover.
"Off Castell de Fels, Spain",Spain,1958,Apr,Monday,Aviaco,Zaragoza - Barcelona,de Havilland DH-114 Heron 2D,16.0,16.0,0.0,0.0,16.0,16.0,Crashed into the ocean after a sudden avoidance manuver. ATC error. Another aircraft was permitted to takeoff without the exact position of the plane being known.
"Near Sloan, 10 miles SW of Las Vegas, Nevada",USA,1958,Apr,Monday,United Air Lines / Military - U.S. Air Force,Los Angeles - New York City,Douglas DC-7 / F-100F,49.0,49.0,0.0,0.0,49.0,49.0,"The DC-7 was en route from Los Angeles to Denver flying at 21,000 ft. The military jet was on a training mission being conducted under VFR. The fighter initiated an evasive maneuver just prior to colliding with the airliner. Both trainee and instructor aboard the F-100 were killed along with all forty-seven aboard the DC-7 airliner. A high rate of near head-on closure at high altitude,  human and cockpit limitations and the failure of Nellis Air Force Base and the Civil Aeronautics Administration to take measures to reduce a known collision exposure as training exercises were allowed to be conducted within the confines of several airways after numerous close calls with military jets had been reported by airline crews for more than a year prior to the tragedy."
"New Delhi, India",India,1958,May,Thursday,Pakistan International Airlines,Dehli - Karachi,Convair CV-240-7,38.0,21.0,2.0,17.0,23.0,40.0,Crashed shortly after taking off. Improper observation and interpretation of instruments. The captain did not properly observe and interpret his flight instruments and thus inadvertently permitted the aircraft to descend to the ground immediately after a night takeoff during which no visual reference was possible.
"Chatenoy, France",France,1958,May,Friday,British European Airways,No Data,Douglas C-47A,3.0,3.0,0.0,0.0,3.0,3.0,The cargo plane broke up in midair while flying through a thunderstorm.
"Near Casablanca, Morocco",Morocco,1958,May,Sunday,Sabena,Brussels - Lisbon - Léopoldville,Douglas DC-7C,69.0,65.0,0.0,4.0,65.0,69.0,"The aircraft developed trouble in the No. 1 engine while en route from Lisbon to Leopoldville. While attempting to land in poor visibility on 3 engines, the aircraft stalled 80 ft. above the ground and crashed into a building and burst into flames. Pre-crash damage to the No. 1 engine. An error of judgment by the pilot in reapplication of power when the aircraft was neither in the appropriate configuration nor at a sufficient speed to carry out the attempted safety maneuver."
"Brunswick, Maryland",USA,1958,May,Tuesday,Capital Airlines / Military - Air National Guard,Pittsburgh - Baltimore,Vickers Viscount 745D / T-33A,13.0,12.0,0.0,1.0,12.0,13.0,"Midair collision at 8,000 ft., four miles ENE of Brunswick. Failure of the T-33A pilot to exercise a proper see and avoid procedure to avoid other traffic. One of two aboard the T-33 ejected safely, all aboard the Viscount were killed."
"Gurgaon, India",India,1958,May,Sunday,Dan-Air Services,Karachi - Dehli,Avro 685 York C-1,5.0,4.0,0.0,1.0,4.0,5.0,A fire in fligth caused by a failure of the No. 1 engine. During the ensuing forced landing on rough terrain the aircraft broke up and was consumed by fire.
"Rio de Janeiro, Brazil",Brazil,1958,May,Saturday,Paraense Transportes Aéreos,Rio de Janeiro - Belém,Curtiss C-46D,4.0,4.0,0.0,0.0,4.0,4.0,"The cargo plane plunged into the water when, a front wheel glanced off a freighter when it was taking off."
"SW of Algiers, Algeria",Algeria,1958,May,Saturday,Air France,Algier - Colomb-Bechar - Tindouf,Douglas DC-3,15.0,15.0,0.0,0.0,15.0,15.0,Crashed into mountains 100 miles southwest of Algiers.
"Manila, Philippines",Philippines,1958,Jun,Monday,Pan American World Airways,San Francisco - Singapore,Boeing 377 Stratocruiser 10-26,57.0,1.0,0.0,56.0,1.0,57.0,"A hard landing in heavy rain and gusty winds at Manila caused the collapse of the right main landing gear. A prop broke off the No. 3 engine, penetrated the cabin and killed one passenger. The aircraft was named ""Clipper Golden Gate."""
"Near Guadalajara, Mexico",Mexico,1958,Jun,Monday,Aeronaves de Mexico,Guadalajara - Mexico City,Lockheed 749A Constellation,45.0,45.0,0.0,0.0,45.0,45.0,The plane crashed into La Latilla mountain 13 km west of Guadalajara. The aircraft did not climb out in accordance with approved procedures.
"Martinsburg, West Virginia",USA,1958,Jun,Wednesday,Capital Airlines,Training,Douglas DC-3,3.0,1.0,0.0,2.0,1.0,3.0,"Following the trainee-pilot's failure to maintain minimum-control speed during an attempted go-around, the instructor-pilot failed to take control of the aircraft in sufficient time to prevent a critical loss of altitude. A contributing factor was the malfunction of the landing gear latch which delayed retraction of the landing gear and caused the distraction of the instructor-pilot for several seconds during a critical period of the go-around."
"Magadan Oblast, Russia",Russia,1958,Jun,Monday,Aeroflot,Okhotsk - Magadan,Ilyushin IL-12,24.0,24.0,0.0,0.0,24.0,24.0,Crashed into the tops of trees while attempting to land. Crew error in attempting to land in weather conditiions below the minimum.
"Curitiba, Brazil",Brazil,1958,Jun,Monday,Cruzeiro,Florianopolis - Curitiba,Convair CV-440-59,26.0,21.0,0.0,5.0,21.0,26.0,Crashed during approach after encountering a downdraft. Missed the runway and collided with a tree. Windshear.
"Mohanbari, India",India,1958,Jun,Wednesday,Indian Airlines,Mohanbari - Damroh,Douglas C-47A,7.0,5.0,0.0,2.0,5.0,7.0,While manoeuvring at a low height in mountainous terrain during a supply dropping mission the port wing of the cargo plane grazed the side of a hill thus causing the aircraft to slew and crash. A contributory factor might have been the mismanagement of the fuel system which caused temporary loss of engine power and height.
"Near Chicopee Falls, Massachusetts",USA,1958,Jun,Friday,Military - U.S. Air Force,Westover AFB - London,Boeing KC-135A,15.0,15.0,0.0,0.0,15.0,15.0,"The aircraft crashed while attempting to break a transatlantic flight record. Heavily loaded with fuel, the pilots failed to detect the aircraft had gone into a slight descent shortly after becoming airborne. The plane struck some power lines and crashed near the Massachusetts Turnpike. The dead included six journalists."
"Dhaka, Baangladesh",Bangladesh,1958,Jul,Wednesday,Indian Airlines,Agartala - Dhaka,Douglas C-47A,3.0,3.0,0.0,0.0,3.0,3.0,The cargo plane suffered structural failure in thunderstorm activity.
"Benghazi, Libya",Libya,1958,Aug,Saturday,Central African Airways,Wadi Halfa - Benina,Vickers Viscount 748D,54.0,36.0,0.0,18.0,36.0,54.0,Crashed into high ground during approach. Misinterpreted or misread altimeter reading. Possible fatigue.
"Near Belem, Brazil",Brazil,1958,Aug,Monday,Loide Aéreo Nacional,Manaus - Belem,Douglas DC-4,11.0,10.0,0.0,1.0,10.0,11.0,Crashed on approach 10 minutes from the airport. Cause unknown.
"Sakiya Saugye, Japan",Japan,1958,Aug,Tuesday,All Nippon Airways,Tokyo - Nagoya,Douglas DC-3,33.0,33.0,0.0,0.0,33.0,33.0,Ditched into the sea near Izu Island appoximately 1 hour after taking off after experiencing engine trouble.
"North Atlantic Ocean, 100 miles W of Galway Bay, Ireland",Ireland,1958,Aug,Thursday,KLM Royal Dutch Airlines,Amsterdam - Shannon - Gander - New York,Lockheed 1049H Super Constellation,99.0,99.0,0.0,0.0,99.0,99.0,"The aircraft crashed into the sea while en route from Shannon to Gander, Newfoundland. Possible overspeeding of outer propeller."
"Nantucket, Massachusetts",USA,1958,Aug,Friday,Northeast Airlines,New York City - Nantucket,Convair CV-240-2,34.0,25.0,0.0,9.0,25.0,34.0,"The aircraft crashed 1,450 feet short of the runway while on approach in heavy fog. Poor judgement and technique by the pilot during approach in poor weather conditions. Nantucket Airport was not equipped with technology to permit insturment landings in such foggy conditions."
"Near Chita, Russia",Russia,1958,Aug,Friday,Aeroflot,Khabarovsk - Irkutsk,Tupolev TU-104-A,64.0,64.0,0.0,0.0,64.0,64.0,The aircraft stalled after flying over a thunderstorm. The aircraft climbed in excess of its operational ceiling considering its weight.
"Sasnashen, Russia",Russia,1958,Sep,Tuesday,Military - U.S. Air Force,Survey flight,Lockheed C-130A-II Hercules,17.0,17.0,0.0,0.0,17.0,17.0,Shot down by Soviet Mig fighters.
Off Guam,No Data,1958,Sep,Tuesday,Military - U.S. Air Force,Guam - Clark AB,Douglas C-124C Globemaster,19.0,19.0,0.0,0.0,19.0,19.0,The aircraft crashed 35 miles west of Agana Naval Air Station. In-flight fire of unknown origin.
"London, England",England,1958,Sep,Tuesday,Independent Air Travel,"London, England - Nice, France",Vickers 621 Viking 1,3.0,3.0,4.0,0.0,7.0,7.0,The cargo plane lost an engine on the initial climb and was not able to maintain altitude and crashed.
"Campina Grande, Brazil",Brazil,1958,Sep,Friday,Loide Aereo Nacional,Paraiba - Rio de Janerio,Curtiss C-46A-CU,18.0,14.0,0.0,4.0,14.0,18.0,The aircraft crashed after a second landing attempt. Improper approach procedure. Pilot error. A contributing cause was incorrect forcast provided to the crew.
"Kazakh, Russia",Russia,1958,Sep,Sunday,Aeroflot,Frunze - Aktyubinsk - Uralsk - Moscow,Aeroflot,27.0,27.0,0.0,0.0,27.0,27.0,The aircraft crashed shortly after being struck by lightning in a thunderstorm.
"Near Fairchild AFB, Washington DC",USA,1958,Sep,Monday,Military - U.S. Air Force / U.S. Air Force,Training,Boeing B-52 / Boeing B-52,16.0,13.0,0.0,3.0,13.0,16.0,"In VFR conditions the two Boeing B-52 Stratofortress bombers approached the same runway at the same time. The two aircraft rammed into each other 900 feet above the ground and crashed. Eight out of 9 aboard 56-661 were killed. Five out of 7 aboard 56-681 were killed. Operator error, in that the pilots of both aircraft failed to maintain safe separation during VFR conditions."
"Mount Oyama, Japan",Japan,1958,Sep,Tuesday,Flying Tiger Line,Travis - Hickam - Wake Island - Tachikawa,Lockheed L-1049H Super Constellation,8.0,8.0,0.0,0.0,8.0,8.0,"Crashed into Mount Oyama 15 miles southwest of Tokyo. The crew continued the approach below the minimum safe altitude, maybe following a wrong altimeter setting."
